id,year,month,super_conv_store,pharmacy,beauty_salon,nursery,laundry,living_ingu,sangju_ingu,jumin_ingu
1,2017,1,333,96,235,307,99,216157,268773,244939
2,2017,2,334,98,241,313,98,221061,274240,247600
3,2017,3,348,101,242,319,100,222541,297243,251178
4,2017,4,355,102,248,324,102,239484,299641,254112
5,2017,5,362,103,247,337,106,248523,305570,259157
6,2017,6,370,100,252,345,107,245763,306749,263056
7,2017,7,373,104,259,346,109,234125,297216,266075
8,2017,8,379,109,260,346,109,234739,298541,269102
9,2017,9,385,108,262,348,110,244122,325504,271410
10,2017,10,387,109,265,351,111,241672,341291,274092
11,2017,11,389,111,268,358,113,248735,346150,276879
12,2017,12,391,109,274,361,115,246232,345465,280100
13,2018,1,395,110,283,364,120,246060,333670,283198
14,2018,2,402,112,279,375,123,250147,333242,288079
15,2018,3,406,113,282,389,126,257039,359852,291182
16,2018,4,413,117,290,398,131,259923,363842,295041
17,2018,5,415,116,296,404,131,257992,367277,297604
18,2018,6,422,117,302,408,131,260308,367207,300332
19,2018,7,427,117,307,415,135,254217,354825,302703
20,2018,8,428,118,315,416,135,254123,357203,305648
21,2018,9,429,121,321,423,136,262408,371089,308068
