id,h_dng_cd,year,month,sex,age,population
1,36110550,2017,2,F,15,15835.51934
2,36110550,2017,2,F,20,13332.4234
3,36110550,2017,2,F,25,21411.87646
4,36110550,2017,2,F,30,33227.11303
5,36110550,2017,2,F,35,47026.11443
6,36110550,2017,2,F,40,37586.83398
7,36110550,2017,2,F,45,27824.70168
8,36110550,2017,2,F,50,19405.66686
9,36110550,2017,2,F,55,19334.92065
10,36110550,2017,2,F,60,14749.21425
11,36110550,2017,2,F,65,9425.38469
12,36110550,2017,2,F,70,6696.851893
13,36110550,2017,2,F,75,6607.295536
14,36110550,2017,2,M,15,14763.72238
15,36110550,2017,2,M,20,12275.00416
16,36110550,2017,2,M,25,16336.51143
17,36110550,2017,2,M,30,27632.01196
18,36110550,2017,2,M,35,40439.02065
19,36110550,2017,2,M,40,38603.85911
20,36110550,2017,2,M,45,34751.32353
21,36110550,2017,2,M,50,24324.24214
22,36110550,2017,2,M,55,21847.83839
23,36110550,2017,2,M,60,14796.50155
24,36110550,2017,2,M,65,9895.330831
25,36110550,2017,2,M,70,6163.849729
26,36110550,2017,2,M,75,4136.149664
27,36110550,2017,3,F,15,13355.07768
28,36110550,2017,3,F,20,11114.05585
29,36110550,2017,3,F,25,20260.58189
30,36110550,2017,3,F,30,30235.20727
31,36110550,2017,3,F,35,43717.26765
32,36110550,2017,3,F,40,35285.90119
33,36110550,2017,3,F,45,25440.2135
34,36110550,2017,3,F,50,18446.66836
35,36110550,2017,3,F,55,18004.92543
36,36110550,2017,3,F,60,13748.66918
37,36110550,2017,3,F,65,8737.078022
38,36110550,2017,3,F,70,6075.361559
39,36110550,2017,3,F,75,5989.110804
40,36110550,2017,3,M,15,12330.78223
41,36110550,2017,3,M,20,9307.434605
42,36110550,2017,3,M,25,15106.93537
43,36110550,2017,3,M,30,24589.25479
44,36110550,2017,3,M,35,36104.68758
45,36110550,2017,3,M,40,34930.95083
46,36110550,2017,3,M,45,31326.47591
47,36110550,2017,3,M,50,22306.41612
48,36110550,2017,3,M,55,19990.41726
49,36110550,2017,3,M,60,13659.95837
50,36110550,2017,3,M,65,8859.562919
51,36110550,2017,3,M,70,5478.117664
52,36110550,2017,3,M,75,3598.489614
53,36110550,2017,4,F,15,14819.41483
54,36110550,2017,4,F,20,12404.15601
55,36110550,2017,4,F,25,21680.58211
56,36110550,2017,4,F,30,32780.78304
57,36110550,2017,4,F,35,47142.56116
58,36110550,2017,4,F,40,37980.79408
59,36110550,2017,4,F,45,27607.22897
60,36110550,2017,4,F,50,20150.56683
61,36110550,2017,4,F,55,19343.16585
62,36110550,2017,4,F,60,14774.60392
63,36110550,2017,4,F,65,9263.03707
64,36110550,2017,4,F,70,6469.896515
65,36110550,2017,4,F,75,5868.148344
66,36110550,2017,4,M,15,13878.25285
67,36110550,2017,4,M,20,10317.48457
68,36110550,2017,4,M,25,16307.79394
69,36110550,2017,4,M,30,26632.81947
70,36110550,2017,4,M,35,39244.06892
71,36110550,2017,4,M,40,37560.84037
72,36110550,2017,4,M,45,33865.03541
73,36110550,2017,4,M,50,23684.04545
74,36110550,2017,4,M,55,21179.60541
75,36110550,2017,4,M,60,14631.17392
76,36110550,2017,4,M,65,9276.139297
77,36110550,2017,4,M,70,5900.142088
78,36110550,2017,4,M,75,3813.774318
79,36110550,2017,5,F,15,15053.56011
80,36110550,2017,5,F,20,12663.98086
81,36110550,2017,5,F,25,21756.23395
82,36110550,2017,5,F,30,32937.65632
83,36110550,2017,5,F,35,46347.12447
84,36110550,2017,5,F,40,37728.58148
85,36110550,2017,5,F,45,27489.76146
86,36110550,2017,5,F,50,20107.21996
87,36110550,2017,5,F,55,19589.35187
88,36110550,2017,5,F,60,14650.18065
89,36110550,2017,5,F,65,9417.368835
90,36110550,2017,5,F,70,6806.436876
91,36110550,2017,5,F,75,5614.56976
92,36110550,2017,5,M,15,14107.41314
93,36110550,2017,5,M,20,10591.49689
94,36110550,2017,5,M,25,16133.68094
95,36110550,2017,5,M,30,26547.57419
96,36110550,2017,5,M,35,38725.16447
97,36110550,2017,5,M,40,36910.76585
98,36110550,2017,5,M,45,33257.33812
99,36110550,2017,5,M,50,23607.79602
100,36110550,2017,5,M,55,20856.76598
101,36110550,2017,5,M,60,14595.1309
102,36110550,2017,5,M,65,9221.803497
103,36110550,2017,5,M,70,5894.195299
104,36110550,2017,5,M,75,3671.622642
105,36110550,2017,6,F,15,15163.44897
106,36110550,2017,6,F,20,12431.15265
107,36110550,2017,6,F,25,21747.75784
108,36110550,2017,6,F,30,32312.04013
109,36110550,2017,6,F,35,45852.30923
110,36110550,2017,6,F,40,36913.48261
111,36110550,2017,6,F,45,27267.67252
112,36110550,2017,6,F,50,19757.24569
113,36110550,2017,6,F,55,18734.016
114,36110550,2017,6,F,60,14496.14598
115,36110550,2017,6,F,65,9228.238666
116,36110550,2017,6,F,70,6618.236995
117,36110550,2017,6,F,75,5632.608864
118,36110550,2017,6,M,15,14347.05037
119,36110550,2017,6,M,20,10359.97482
120,36110550,2017,6,M,25,15713.23695
121,36110550,2017,6,M,30,26288.7432
122,36110550,2017,6,M,35,38064.25583
123,36110550,2017,6,M,40,36199.40853
124,36110550,2017,6,M,45,32772.68303
125,36110550,2017,6,M,50,22894.89252
126,36110550,2017,6,M,55,20274.22193
127,36110550,2017,6,M,60,14125.44461
128,36110550,2017,6,M,65,8970.944526
129,36110550,2017,6,M,70,5766.660997
130,36110550,2017,6,M,75,3449.635207
131,36110550,2017,7,F,15,15586.24067
132,36110550,2017,7,F,20,12919.26377
133,36110550,2017,7,F,25,20282.58647
134,36110550,2017,7,F,30,30620.97182
135,36110550,2017,7,F,35,43510.42305
136,36110550,2017,7,F,40,35094.73259
137,36110550,2017,7,F,45,26331.38972
138,36110550,2017,7,F,50,18993.14775
139,36110550,2017,7,F,55,18258.48093
140,36110550,2017,7,F,60,13853.54824
141,36110550,2017,7,F,65,8887.671499
142,36110550,2017,7,F,70,6278.340252
143,36110550,2017,7,F,75,5812.301851
144,36110550,2017,7,M,15,14885.59021
145,36110550,2017,7,M,20,11723.57365
146,36110550,2017,7,M,25,15064.19858
147,36110550,2017,7,M,30,25133.19525
148,36110550,2017,7,M,35,36219.18003
149,36110550,2017,7,M,40,34992.61203
150,36110550,2017,7,M,45,31209.97979
151,36110550,2017,7,M,50,22405.43675
152,36110550,2017,7,M,55,19387.51536
153,36110550,2017,7,M,60,13933.18788
154,36110550,2017,7,M,65,8665.194713
155,36110550,2017,7,M,70,5766.401038
156,36110550,2017,7,M,75,3479.860834
157,36110550,2017,8,F,15,14855.30443
158,36110550,2017,8,F,20,12297.56655
159,36110550,2017,8,F,25,19389.61548
160,36110550,2017,8,F,30,29573.40268
161,36110550,2017,8,F,35,42373.76391
162,36110550,2017,8,F,40,34311.80395
163,36110550,2017,8,F,45,25590.70622
164,36110550,2017,8,F,50,18805.38644
165,36110550,2017,8,F,55,18233.07657
166,36110550,2017,8,F,60,13545.3879
167,36110550,2017,8,F,65,8689.25244
168,36110550,2017,8,F,70,6361.804054
169,36110550,2017,8,F,75,5838.770844
170,36110550,2017,8,M,15,14834.23779
171,36110550,2017,8,M,20,11498.86833
172,36110550,2017,8,M,25,14350.16
173,36110550,2017,8,M,30,24074.36706
174,36110550,2017,8,M,35,35402.70094
175,36110550,2017,8,M,40,34163.73612
176,36110550,2017,8,M,45,30416.22572
177,36110550,2017,8,M,50,21668.10387
178,36110550,2017,8,M,55,19104.24524
179,36110550,2017,8,M,60,13671.49847
180,36110550,2017,8,M,65,8443.043021
181,36110550,2017,8,M,70,5653.97575
182,36110550,2017,8,M,75,3409.129013
183,36110550,2017,9,F,15,14071.1908
