id,year,month,hd_cd,hd_name,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue
358,2017,1,36110250,조치원읍,45032,32302,35741,25719590219
359,2017,2,36110250,조치원읍,45022,32351,35846,23785940609
360,2017,3,36110250,조치원읍,45029,40947,43932,30898562169
361,2017,4,36110250,조치원읍,44908,41126,44661,28626362051
362,2017,5,36110250,조치원읍,44622,41328,44465,29352670638
363,2017,6,36110250,조치원읍,44405,39477,42850,27698945471
364,2017,7,36110250,조치원읍,44414,34225,37748,24642142885
365,2017,8,36110250,조치원읍,44396,33321,36730,24574916886
366,2017,9,36110250,조치원읍,44361,39854,42613,28464373178
367,2017,10,36110250,조치원읍,44253,40558,43094,26610392757
368,2017,11,36110250,조치원읍,44109,41233,44286,27242384117
369,2017,12,36110250,조치원읍,44019,39815,42674,28189152735
370,2018,1,36110250,조치원읍,43953,33553,37067,23177815302
371,2018,2,36110250,조치원읍,43870,32875,36167,21955000436
372,2018,3,36110250,조치원읍,43849,42171,44985,28763897917
373,2018,4,36110250,조치원읍,43614,42435,45111,27252735717
374,2018,5,36110250,조치원읍,43496,41958,44656,28588193451
375,2018,6,36110250,조치원읍,43253,40710,43313,28077590989
376,2018,7,36110250,조치원읍,43091,34896,37644,26057261730
377,2018,8,36110250,조치원읍,43023,34496,37128,24722460432
378,2018,9,36110250,조치원읍,43215,40797,43141,27468970254
379,2017,1,36110310,연기면,2571,5329,6563,1971607604
380,2017,2,36110310,연기면,2572,5595,6599,2118181157
381,2017,3,36110310,연기면,2566,6317,7066,2367523458
382,2017,4,36110310,연기면,2540,6010,6949,2219025449
383,2017,5,36110310,연기면,2564,5833,6395,2203219887
384,2017,6,36110310,연기면,2557,5943,6297,2185035567
385,2017,7,36110310,연기면,2550,5922,6519,2213843820
386,2017,8,36110310,연기면,2563,7664,9795,2056907092
387,2017,9,36110310,연기면,2581,15292,11031,2189195626
388,2017,10,36110310,연기면,2594,15647,12099,2055734541
389,2017,11,36110310,연기면,2579,15791,12359,2173285253
390,2017,12,36110310,연기면,2602,15085,11914,2277202874
391,2018,1,36110310,연기면,2597,14784,11278,1865491786
392,2018,2,36110310,연기면,2602,14380,10818,1786233526
393,2018,3,36110310,연기면,2582,14638,10954,1804143198
394,2018,4,36110310,연기면,2560,14929,10619,1957805061
395,2018,5,36110310,연기면,2547,14942,10440,2313809767
396,2018,6,36110310,연기면,2535,14915,10669,2229941706
397,2018,7,36110310,연기면,2549,14618,10101,2223611213
398,2018,8,36110310,연기면,2522,14730,10346,2102734728
399,2018,9,36110310,연기면,2525,14341,10184,2130241907
400,2017,1,36110320,연동면,3275,4064,2394,1103265478
401,2017,2,36110320,연동면,3257,4089,2352,1150240612
402,2017,3,36110320,연동면,3250,4131,2346,1173401601
403,2017,4,36110320,연동면,3239,4062,2309,1104004500
404,2017,5,36110320,연동면,3226,4206,2252,1021431663
405,2017,6,36110320,연동면,3209,4239,2299,1054214278
406,2017,7,36110320,연동면,3207,4235,2405,973883681
407,2017,8,36110320,연동면,3175,4030,2341,916443656
408,2017,9,36110320,연동면,3168,4235,2430,1006154274
409,2017,10,36110320,연동면,3146,3914,2361,853151113
410,2017,11,36110320,연동면,3129,4130,2448,927598123
411,2017,12,36110320,연동면,3111,4165,2500,871240185
412,2018,1,36110320,연동면,3095,4084,2522,868600476
413,2018,2,36110320,연동면,3077,4084,2563,861519059
414,2018,3,36110320,연동면,3047,4295,2781,993413329
415,2018,4,36110320,연동면,3031,4217,2643,901402860
416,2018,5,36110320,연동면,3022,4320,2633,1132002726
417,2018,6,36110320,연동면,3017,4295,2672,979051434
418,2018,7,36110320,연동면,3016,4403,2693,962654315
419,2018,8,36110320,연동면,2997,4405,2750,997387867
420,2018,9,36110320,연동면,2976,4585,2751,929035073
421,2017,1,36110330,부강면,6404,8514,5551,6700991418
422,2017,2,36110330,부강면,6374,8747,5628,5856002784
423,2017,3,36110330,부강면,6339,8858,5597,6574570936
424,2017,4,36110330,부강면,6338,8883,5608,5887794828
425,2017,5,36110330,부강면,6287,8877,5650,5720554066
426,2017,6,36110330,부강면,6243,8932,5664,5222827374
427,2017,7,36110330,부강면,6209,8939,5644,5127808208
428,2017,8,36110330,부강면,6204,8807,5556,4964922311
429,2017,9,36110330,부강면,6188,9159,5739,5730830847
430,2017,10,36110330,부강면,6159,8837,5615,5293493527
431,2017,11,36110330,부강면,6114,9289,5889,5848237511
432,2017,12,36110330,부강면,6137,8864,5829,5717559784
433,2018,1,36110330,부강면,6127,8842,5695,5315126066
434,2018,2,36110330,부강면,6110,8810,5699,4893874380
435,2018,3,36110330,부강면,6046,9081,5808,5491941492
436,2018,4,36110330,부강면,6023,9130,5916,5539131092
437,2018,5,36110330,부강면,6023,9452,5934,5926059058
438,2018,6,36110330,부강면,6040,9342,6077,6083326525
439,2018,7,36110330,부강면,6009,9401,6074,6559577575
440,2018,8,36110330,부강면,6000,9251,6069,6376855083
441,2018,9,36110330,부강면,5975,9358,6120,5803099253
442,2017,1,36110340,금남면,9052,13606,13309,4274520227
443,2017,2,36110340,금남면,9037,13743,13373,4240209083
444,2017,3,36110340,금남면,9018,14257,13765,5103547016
445,2017,4,36110340,금남면,8988,14148,13780,4608469060
446,2017,5,36110340,금남면,8919,13995,13675,4809036302
447,2017,6,36110340,금남면,8830,13782,13475,4802743344
448,2017,7,36110340,금남면,8848,13411,13281,4682546790
449,2017,8,36110340,금남면,8826,13200,13139,4756809939
450,2017,9,36110340,금남면,8781,13681,13394,4783511849
451,2017,10,36110340,금남면,8747,14240,13674,4146127246
452,2017,11,36110340,금남면,8731,14211,13790,4636696546
