id,year,month,h_dng_cd,h_name,age,sex,d_sum,n_sum
1,2017,1,36110250,세종조치원읍,0,F,308,305
2,2017,1,36110310,세종연기면,0,F,28,21
3,2017,1,36110320,세종연동면,0,F,7,7
4,2017,1,36110330,세종부강면,0,F,49,42
5,2017,1,36110340,세종금남면,0,F,39,32
6,2017,1,36110350,세종장군면,0,F,102,84
7,2017,1,36110360,세종연서면,0,F,63,53
8,2017,1,36110370,세종전의면,0,F,18,18
9,2017,1,36110380,세종전동면,0,F,14,14
10,2017,1,36110390,세종소정면,0,F,18,18
11,2017,1,36110510,세종한솔동,0,F,292,292
12,2017,1,36110515,세종새롬동,0,F,0,0
13,2017,1,36110520,세종도담동,0,F,233,233
14,2017,1,36110530,세종아름동,0,F,458,458
15,2017,1,36110540,세종종촌동,0,F,270,269
16,2017,1,36110560,세종보람동,0,F,0,0
17,2017,1,36110250,세종조치원읍,0,M,277,273
18,2017,1,36110310,세종연기면,0,M,28,14
19,2017,1,36110320,세종연동면,0,M,4,4
20,2017,1,36110330,세종부강면,0,M,7,4
21,2017,1,36110340,세종금남면,0,M,14,11
22,2017,1,36110350,세종장군면,0,M,81,74
23,2017,1,36110360,세종연서면,0,M,42,39
24,2017,1,36110370,세종전의면,0,M,28,28
25,2017,1,36110380,세종전동면,0,M,11,7
26,2017,1,36110390,세종소정면,0,M,0,0
27,2017,1,36110510,세종한솔동,0,M,196,187
28,2017,1,36110515,세종새롬동,0,M,0,0
29,2017,1,36110520,세종도담동,0,M,162,154
30,2017,1,36110530,세종아름동,0,M,326,310
31,2017,1,36110540,세종종촌동,0,M,179,170
32,2017,1,36110250,세종조치원읍,10,F,1915,1995
33,2017,1,36110310,세종연기면,10,F,291,312
34,2017,1,36110320,세종연동면,10,F,102,84
35,2017,1,36110330,세종부강면,10,F,182,175
36,2017,1,36110340,세종금남면,10,F,196,200
37,2017,1,36110350,세종장군면,10,F,697,714
38,2017,1,36110360,세종연서면,10,F,382,357
39,2017,1,36110370,세종전의면,10,F,277,266
40,2017,1,36110380,세종전동면,10,F,74,84
41,2017,1,36110390,세종소정면,10,F,56,77
42,2017,1,36110510,세종한솔동,10,F,1976,2003
43,2017,1,36110515,세종새롬동,10,F,0,0
44,2017,1,36110520,세종도담동,10,F,1521,1542
45,2017,1,36110530,세종아름동,10,F,2629,2665
46,2017,1,36110540,세종종촌동,10,F,1498,1518
47,2017,1,36110550,세종고운동,10,F,0,0
48,2017,1,36110560,세종보람동,10,F,0,0
49,2017,1,36110250,세종조치원읍,10,M,1897,1939
50,2017,1,36110310,세종연기면,10,M,256,291
51,2017,1,36110320,세종연동면,10,M,151,116
52,2017,1,36110330,세종부강면,10,M,270,280
53,2017,1,36110340,세종금남면,10,M,210,203
54,2017,1,36110350,세종장군면,10,M,616,644
55,2017,1,36110360,세종연서면,10,M,336,336
56,2017,1,36110370,세종전의면,10,M,280,277
57,2017,1,36110380,세종전동면,10,M,119,130
58,2017,1,36110390,세종소정면,10,M,56,63
59,2017,1,36110510,세종한솔동,10,M,1736,1764
60,2017,1,36110515,세종새롬동,10,M,0,0
61,2017,1,36110520,세종도담동,10,M,1359,1381
62,2017,1,36110530,세종아름동,10,M,2372,2411
63,2017,1,36110540,세종종촌동,10,M,1304,1325
64,2017,1,36110560,세종보람동,10,M,0,0
65,2017,1,36110250,세종조치원읍,20,F,2576,2947
66,2017,1,36110310,세종연기면,20,F,315,396
67,2017,1,36110320,세종연동면,20,F,161,130
68,2017,1,36110330,세종부강면,20,F,417,315
69,2017,1,36110340,세종금남면,20,F,560,343
70,2017,1,36110350,세종장군면,20,F,816,928
71,2017,1,36110360,세종연서면,20,F,364,378
72,2017,1,36110370,세종전의면,20,F,529,329
73,2017,1,36110380,세종전동면,20,F,140,67
74,2017,1,36110390,세종소정면,20,F,109,81
75,2017,1,36110510,세종한솔동,20,F,2073,1932
76,2017,1,36110515,세종새롬동,20,F,0,0
77,2017,1,36110520,세종도담동,20,F,2202,2052
78,2017,1,36110530,세종아름동,20,F,2498,2328
79,2017,1,36110540,세종종촌동,20,F,1615,1505
80,2017,1,36110560,세종보람동,20,F,0,0
81,2017,1,36110250,세종조치원읍,20,M,4204,4501
82,2017,1,36110310,세종연기면,20,M,417,508
83,2017,1,36110320,세종연동면,20,M,403,210
84,2017,1,36110330,세종부강면,20,M,1033,532
