id,etl_ymd,ht,sido_cd,sgg_cd,cnt
1,20180901,00,36,30110,14
2,20180901,00,36,30140,10
3,20180901,00,36,30170,30
4,20180901,00,36,30200,30
5,20180901,00,36,30230,13
6,20180901,00,36,41410,4
7,20180901,00,36,43111,9
8,20180901,00,36,43112,30
9,20180901,00,36,43113,35
10,20180901,00,36,43114,4
11,20180901,00,36,44131,22
12,20180901,00,36,44133,5
13,20180901,00,36,44150,20
14,20180901,00,36,44250,4
15,20180901,01,36,30110,4
16,20180901,01,36,30140,5
17,20180901,01,36,30170,13
18,20180901,01,36,30200,19
19,20180901,01,36,30230,9
20,20180901,01,36,43112,9
21,20180901,01,36,43113,13
22,20180901,01,36,44131,6
23,20180901,01,36,44150,7
24,20180901,01,36,44250,4
25,20180901,02,36,30140,4
26,20180901,02,36,30170,9
27,20180901,02,36,30200,16
28,20180901,02,36,43112,8
29,20180901,02,36,43113,6
30,20180901,02,36,44131,15
31,20180901,02,36,44133,6
32,20180901,02,36,44150,6
33,20180901,03,36,30140,6
34,20180901,03,36,30170,8
35,20180901,03,36,30200,6
36,20180901,03,36,43111,4
37,20180901,03,36,43112,6
38,20180901,03,36,43113,5
39,20180901,04,36,30140,7
40,20180901,04,36,30170,5
41,20180901,04,36,43113,10
42,20180901,04,36,44131,4
43,20180901,04,36,44150,9
44,20180901,05,36,30110,8
45,20180901,05,36,30140,9
46,20180901,05,36,30170,25
47,20180901,05,36,30200,23
48,20180901,05,36,30230,16
49,20180901,05,36,43112,4
50,20180901,05,36,43113,11
51,20180901,05,36,44131,16
52,20180901,05,36,44150,17
53,20180901,06,36,30110,37
54,20180901,06,36,30140,41
55,20180901,06,36,30170,88
56,20180901,06,36,30200,70
57,20180901,06,36,30230,42
58,20180901,06,36,43111,11
59,20180901,06,36,43112,29
60,20180901,06,36,43113,49
61,20180901,06,36,43114,12
62,20180901,06,36,44131,34
63,20180901,06,36,44133,11
64,20180901,06,36,44150,52
65,20180901,06,36,44250,7
66,20180901,07,36,30110,55
67,20180901,07,36,30140,58
68,20180901,07,36,30170,136
69,20180901,07,36,30200,118
70,20180901,07,36,30230,79
71,20180901,07,36,43111,21
72,20180901,07,36,43112,75
73,20180901,07,36,43113,90
74,20180901,07,36,43114,20
75,20180901,07,36,43770,4
76,20180901,07,36,44131,73
77,20180901,07,36,44133,31
78,20180901,07,36,44150,76
79,20180901,07,36,44200,11
80,20180901,07,36,44230,5
81,20180901,07,36,44250,14
82,20180901,08,36,30110,69
83,20180901,08,36,30140,51
84,20180901,08,36,30170,160
85,20180901,08,36,30200,179
86,20180901,08,36,30230,68
87,20180901,08,36,43111,26
88,20180901,08,36,43112,83
89,20180901,08,36,43113,125
90,20180901,08,36,43114,30
91,20180901,08,36,44131,66
92,20180901,08,36,44133,31
93,20180901,08,36,44150,93
94,20180901,08,36,44200,17
95,20180901,08,36,44230,6
96,20180901,08,36,44250,17
97,20180901,09,36,30110,59
98,20180901,09,36,30140,65
99,20180901,09,36,30170,162
100,20180901,09,36,30200,191
101,20180901,09,36,30230,73
102,20180901,09,36,43111,25
103,20180901,09,36,43112,77
104,20180901,09,36,43113,128
105,20180901,09,36,43114,28
106,20180901,09,36,44131,52
107,20180901,09,36,44133,23
108,20180901,09,36,44150,101
109,20180901,09,36,44200,10
110,20180901,09,36,44230,5
111,20180901,09,36,44250,17
112,20180901,10,36,30110,42
113,20180901,10,36,30140,54
114,20180901,10,36,30170,145
115,20180901,10,36,30200,182
116,20180901,10,36,30230,67
117,20180901,10,36,43111,21
118,20180901,10,36,43112,69
119,20180901,10,36,43113,112
120,20180901,10,36,43114,25
121,20180901,10,36,44131,48
122,20180901,10,36,44133,20
123,20180901,10,36,44150,92
124,20180901,10,36,44200,10
125,20180901,10,36,44230,8
126,20180901,10,36,44250,16
127,20180901,11,36,28200,4
128,20180901,11,36,30110,59
129,20180901,11,36,30140,55
130,20180901,11,36,30170,147
131,20180901,11,36,30200,181
132,20180901,11,36,30230,75
133,20180901,11,36,43111,25
134,20180901,11,36,43112,60
135,20180901,11,36,43113,106
136,20180901,11,36,43114,19
137,20180901,11,36,44131,47
138,20180901,11,36,44133,22
139,20180901,11,36,44150,111
140,20180901,11,36,44200,16
141,20180901,11,36,44230,4
142,20180901,11,36,44250,15
143,20180901,12,36,30110,53
144,20180901,12,36,30140,50
145,20180901,12,36,30170,153
146,20180901,12,36,30200,183
147,20180901,12,36,30230,85
148,20180901,12,36,41220,4
149,20180901,12,36,43111,23
150,20180901,12,36,43112,74
151,20180901,12,36,43113,121
152,20180901,12,36,43114,27
153,20180901,12,36,43730,5
154,20180901,12,36,44131,58
155,20180901,12,36,44133,27
156,20180901,12,36,44150,104
157,20180901,12,36,44200,14
158,20180901,12,36,44230,8
159,20180901,12,36,44250,15
160,20180901,12,36,44710,4
161,20180901,12,36,45140,4
162,20180901,13,36,30110,54
163,20180901,13,36,30140,45
164,20180901,13,36,30170,128
165,20180901,13,36,30200,193
166,20180901,13,36,30230,77
167,20180901,13,36,43111,25
168,20180901,13,36,43112,67
169,20180901,13,36,43113,137
170,20180901,13,36,43114,21
171,20180901,13,36,44131,49
172,20180901,13,36,44133,24
173,20180901,13,36,44150,95
174,20180901,13,36,44200,9
175,20180901,13,36,44230,7
176,20180901,13,36,44250,19
177,20180901,14,36,30110,47
178,20180901,14,36,30140,48
179,20180901,14,36,30170,134
180,20180901,14,36,30200,193
181,20180901,14,36,30230,61
182,20180901,14,36,41271,4
183,20180901,14,36,43111,22
184,20180901,14,36,43112,59
185,20180901,14,36,43113,99
186,20180901,14,36,43114,24
187,20180901,14,36,44131,54
188,20180901,14,36,44133,20
189,20180901,14,36,44150,84
190,20180901,14,36,44200,13
191,20180901,14,36,44230,8
192,20180901,14,36,44250,13
193,20180901,14,36,44710,4
194,20180901,15,36,11650,4
195,20180901,15,36,30110,54
196,20180901,15,36,30140,50
197,20180901,15,36,30170,133
198,20180901,15,36,30200,185
199,20180901,15,36,30230,75
200,20180901,15,36,43111,18
201,20180901,15,36,43112,49
202,20180901,15,36,43113,102
203,20180901,15,36,43114,20
204,20180901,15,36,44131,46
205,20180901,15,36,44133,15
206,20180901,15,36,44150,87
207,20180901,15,36,44200,14
208,20180901,15,36,44230,5
209,20180901,15,36,44250,15
210,20180901,16,36,11650,5
211,20180901,16,36,30110,55
212,20180901,16,36,30140,58
213,20180901,16,36,30170,132
214,20180901,16,36,30200,172
215,20180901,16,36,30230,70
216,20180901,16,36,43111,18
217,20180901,16,36,43112,49
218,20180901,16,36,43113,127
219,20180901,16,36,43114,25
220,20180901,16,36,44131,57
221,20180901,16,36,44133,14
222,20180901,16,36,44150,95
223,20180901,16,36,44200,15
224,20180901,16,36,44230,9
225,20180901,16,36,44250,16
226,20180901,16,36,45140,5
227,20180901,17,36,11500,5
228,20180901,17,36,30110,49
229,20180901,17,36,30140,42
230,20180901,17,36,30170,154
231,20180901,17,36,30200,172
232,20180901,17,36,30230,68
233,20180901,17,36,41220,4
234,20180901,17,36,43111,16
235,20180901,17,36,43112,52
236,20180901,17,36,43113,118
237,20180901,17,36,43114,19
238,20180901,17,36,44131,72
239,20180901,17,36,44133,27
240,20180901,17,36,44150,92
241,20180901,17,36,44200,19
242,20180901,17,36,44230,7
243,20180901,17,36,44250,12
244,20180901,18,36,30110,32
245,20180901,18,36,30140,25
246,20180901,18,36,30170,98
247,20180901,18,36,30200,158
248,20180901,18,36,30230,39
249,20180901,18,36,43111,12
250,20180901,18,36,43112,39
251,20180901,18,36,43113,96
252,20180901,18,36,43114,18
253,20180901,18,36,44131,37
254,20180901,18,36,44133,9
255,20180901,18,36,44150,74
256,20180901,18,36,44200,8
257,20180901,18,36,44230,4
258,20180901,18,36,44250,13
259,20180901,19,36,30110,25
260,20180901,19,36,30140,11
261,20180901,19,36,30170,60
262,20180901,19,36,30200,118
263,20180901,19,36,30230,37
264,20180901,19,36,43111,14
265,20180901,19,36,43112,40
266,20180901,19,36,43113,73
267,20180901,19,36,43114,8
268,20180901,19,36,44131,24
269,20180901,19,36,44133,6
270,20180901,19,36,44150,43
271,20180901,19,36,44200,8
272,20180901,19,36,44250,4
273,20180901,20,36,30110,14
274,20180901,20,36,30140,13
275,20180901,20,36,30170,55
276,20180901,20,36,30200,96
277,20180901,20,36,30230,22
278,20180901,20,36,43111,6
279,20180901,20,36,43112,31
280,20180901,20,36,43113,59
281,20180901,20,36,43114,8
282,20180901,20,36,44131,20
283,20180901,20,36,44133,7
284,20180901,20,36,44150,46
285,20180901,20,36,44200,4
286,20180901,20,36,44250,5
287,20180901,21,36,30110,13
288,20180901,21,36,30140,13
289,20180901,21,36,30170,51
290,20180901,21,36,30200,88
291,20180901,21,36,30230,20
292,20180901,21,36,43112,21
293,20180901,21,36,43113,49
294,20180901,21,36,43114,6
295,20180901,21,36,44131,15
296,20180901,21,36,44133,6
297,20180901,21,36,44150,50
298,20180901,21,36,44250,4
299,20180901,22,36,30110,16
300,20180901,22,36,30140,12
301,20180901,22,36,30170,32
302,20180901,22,36,30200,47
303,20180901,22,36,30230,14
304,20180901,22,36,43112,8
305,20180901,22,36,43113,41
306,20180901,22,36,43114,6
307,20180901,22,36,44131,10
308,20180901,22,36,44150,23
309,20180901,22,36,44250,4
310,20180901,23,36,30110,12
311,20180901,23,36,30140,4
312,20180901,23,36,30170,20
313,20180901,23,36,30200,39
314,20180901,23,36,30230,13
315,20180901,23,36,43111,4
316,20180901,23,36,43112,9
317,20180901,23,36,43113,41
318,20180901,23,36,43114,5
319,20180901,23,36,44131,11
320,20180901,23,36,44150,17
321,20180902,00,36,30110,9
322,20180902,00,36,30140,6
323,20180902,00,36,30170,28
324,20180902,00,36,30200,39
325,20180902,00,36,30230,13
326,20180902,00,36,43111,6
327,20180902,00,36,43112,13
