id,etl_ymd,ht,sido_cd,sgg_cd,cnt
1,20180901,00,36,11170,19
2,20180901,00,36,11260,8
3,20180901,00,36,11320,11
4,20180901,00,36,11350,8
5,20180901,00,36,11560,30
6,20180901,00,36,11650,31
7,20180901,00,36,11740,16
8,20180901,00,36,26200,5
9,20180901,00,36,26440,5
10,20180901,00,36,27140,12
11,20180901,00,36,27170,4
12,20180901,00,36,28177,13
13,20180901,00,36,28245,7
14,20180901,00,36,29170,15
15,20180901,00,36,30140,81
16,20180901,00,36,30170,177
17,20180901,00,36,31170,6
18,20180901,00,36,41117,23
19,20180901,00,36,41135,25
20,20180901,00,36,41173,24
21,20180901,00,36,41281,11
22,20180901,00,36,41285,7
23,20180901,00,36,41310,9
24,20180901,00,36,41370,12
25,20180901,00,36,41390,20
26,20180901,00,36,41430,8
27,20180901,00,36,41550,16
28,20180901,00,36,42150,4
29,20180901,00,36,43112,96
30,20180901,00,36,43130,23
31,20180901,00,36,43720,5
32,20180901,00,36,43745,7
33,20180901,00,36,44150,89
34,20180901,00,36,44180,24
35,20180901,00,36,44200,52
36,20180901,00,36,44760,18
37,20180901,00,36,44810,12
38,20180901,00,36,46230,5
39,20180901,00,36,46830,4
40,20180901,00,36,47111,6
41,20180901,00,36,47230,9
42,20180901,00,36,47250,7
43,20180901,00,36,47850,6
44,20180901,00,36,48121,4
45,20180901,00,36,48310,11
46,20180901,01,36,11215,4
47,20180901,01,36,11230,4
48,20180901,01,36,11680,7
49,20180901,01,36,28200,4
50,20180901,01,36,30110,36
51,20180901,01,36,41111,4
52,20180901,01,36,41190,6
53,20180901,01,36,41590,9
54,20180901,01,36,43114,9
55,20180901,01,36,43740,4
56,20180901,01,36,43750,6
57,20180901,01,36,44800,4
58,20180901,01,36,44825,5
59,20180901,01,36,45113,8
60,20180901,01,36,47190,4
61,20180901,02,36,11410,4
62,20180901,02,36,41220,16
63,20180901,02,36,43113,48
64,20180901,02,36,43770,5
65,20180901,02,36,44131,25
66,20180901,02,36,44133,15
67,20180901,02,36,44210,4
68,20180901,02,36,44230,8
69,20180901,02,36,44270,6
70,20180901,03,36,11290,4
71,20180901,03,36,11620,5
72,20180901,03,36,30200,49
73,20180901,03,36,30230,23
74,20180901,03,36,41465,4
75,20180901,03,36,43111,19
76,20180901,03,36,44710,6
77,20180901,03,36,50110,4
78,20180901,04,36,11650,4
79,20180901,04,36,30140,18
80,20180901,04,36,30170,46
81,20180901,04,36,41390,5
82,20180901,04,36,43112,35
83,20180901,04,36,44150,26
84,20180901,04,36,44200,13
85,20180901,05,36,11215,4
86,20180901,05,36,11680,4
87,20180901,05,36,11710,6
88,20180901,05,36,27230,5
89,20180901,05,36,27260,5
90,20180901,05,36,28200,7
91,20180901,05,36,30110,54
92,20180901,05,36,41190,9
93,20180901,05,36,41590,13
94,20180901,05,36,43114,21
95,20180901,05,36,44800,7
96,20180901,05,36,44825,8
97,20180901,05,36,45113,5
98,20180901,05,36,47190,4
99,20180901,06,36,11110,5
100,20180901,06,36,11305,6
101,20180901,06,36,11380,7
102,20180901,06,36,11410,5
103,20180901,06,36,11530,12
104,20180901,06,36,26230,4
105,20180901,06,36,26350,9
106,20180901,06,36,28110,4
107,20180901,06,36,28185,8
108,20180901,06,36,29155,10
109,20180901,06,36,31110,4
110,20180901,06,36,31710,4
111,20180901,06,36,41115,5
112,20180901,06,36,41133,4
113,20180901,06,36,41210,13
114,20180901,06,36,41220,26
115,20180901,06,36,41290,5
116,20180901,06,36,41360,14
117,20180901,06,36,41410,4
118,20180901,06,36,41450,4
119,20180901,06,36,41480,6
120,20180901,06,36,41500,5
121,20180901,06,36,43113,195
122,20180901,06,36,43770,6
123,20180901,06,36,44131,101
124,20180901,06,36,44133,73
125,20180901,06,36,44210,17
126,20180901,06,36,44230,32
127,20180901,06,36,44250,19
128,20180901,06,36,44270,8
129,20180901,06,36,45111,15
