year,month,dong,upjong,living_ingu,revenue,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,세종.집합.상가.임대가격지수,세종.소규모.상가.임대가격지수,세종.중대형.상가.임대가격지수,소비자물가_총지수,생활물가지수,신선식품지수,농산물및석유류제외지수,식료품및에너지제외지수,지가변동률,무연보통휘발유,실내등유,자동차용.경유,취업자수_계,비임금근로자,X.자영업자,X.고용원이.있는.자영업자,X.고용원이.없는.자영업자,X.무급가족종사자,임금근로자,X.상용근로자,X.임시근로자,X.일용근로자,실업률.계,실업률.남자,실업률.여자,보험료.계,보험료.직장,보험료.지역,sum.m00..x,sum.m05..x,sum.m10..x,sum.m15..x,sum.m20..x,sum.m25..x,sum.m30..x,sum.m35..x,sum.m40..x,sum.m45..x,sum.m50..x,sum.m55..x,sum.m60..x,sum.m65..x,sum.m70..x,sum.f00..x,sum.f05..x,sum.f10..x,sum.f15..x,sum.f20..x,sum.f25..x,sum.f30..x,sum.f35..x,sum.f40..x,sum.f45..x,sum.f50..x,sum.f55..x,sum.f60..x,sum.f65..x,sum.f70..x,sum.m00..y,sum.m05..y,sum.m10..y,sum.m15..y,sum.m20..y,sum.m25..y,sum.m30..y,sum.m35..y,sum.m40..y,sum.m45..y,sum.m50..y,sum.m55..y,sum.m60..y,sum.m65..y,sum.m70..y,sum.f00..y,sum.f05..y,sum.f10..y,sum.f15..y,sum.f20..y,sum.f25..y,sum.f30..y,sum.f35..y,sum.f40..y,sum.f45..y,sum.f50..y,sum.f55..y,sum.f60..y,sum.f65..y,sum.f70..y,merc_cnt,death_count
2017,1,금남면,교육,174640.3089,199403739.5,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,6,7
2017,1,금남면,내구재,301039.3465,46831795.04,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,0,7
2017,1,금남면,레포츠/문화/취미,112617.3674,27092697.32,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,7,7
2017,1,금남면,서비스,203346.5801,19252668.12,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,0,7
2017,1,금남면,식생활,992956.3263,1637674489,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,108,7
2017,1,금남면,여행,111047.683,56908608.24,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,3,7
2017,1,금남면,유통,606128.575,596690921.2,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,12,7
2017,1,금남면,유흥,249582.0553,135619535.3,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,7,7
2017,1,금남면,의료/미용,482844.6336,118288885.2,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,5,7
2017,1,금남면,의생활,168633.1633,10871886.01,9052,13606,13309,107.5,104.2,103.9,2.2,2.6,15.9,1.6,1.8,0.352,1507.88,857.54,1300.18,117,21,17,7,11,4,96,78,14,4,2.9,2.4,3.6,20321523,17793296,2528227,0,250,1837,5898,13005,18131,18676,24554,29277,32648,30980,32326,15586,7880,4336,1,591,2405,4107,8435,9273,10004,13087,12684,15592,15094,14587,7355,3205,4442,0,157,1199,5549,15004,11483,13203,17097,20910,25863,25877,21967,14664,8801,4552,0,545,2116,2137,6466,6714,5441,6501,9556,10440,13494,12445,7643,2061,3538,4,7
