year,month,h_dng_cd,population
2017,1,36110250,877742.7379900002
2017,1,36110310,226899.15326299993
2017,1,36110320,96940.05314349999
2017,1,36110330,160458.97342100003
2017,1,36110340,130786.11290800001
2017,1,36110350,179638.94910300002
2017,1,36110360,228127.09743400002
2017,1,36110370,180594.768401
2017,1,36110380,61912.7253381
2017,1,36110390,41554.3382989
2017,1,36110510,815397.6662489999
2017,1,36110520,1197998.234781
2017,1,36110530,360237.6788899999
2017,1,36110540,315895.811864
2017,2,36110250,872403.0886799999
2017,2,36110310,246818.51104300003
2017,2,36110320,93837.332691
2017,2,36110330,160544.29394500004
2017,2,36110340,128058.49358799998
2017,2,36110350,213922.75329899997
2017,2,36110360,218535.08768100003
2017,2,36110370,181860.616692
2017,2,36110380,60352.51205
2017,2,36110390,38976.8658395
2017,2,36110510,540642.969682
2017,2,36110520,659511.30423
2017,2,36110530,375119.484637
2017,2,36110540,315282.828646
2017,2,36110550,538429.2817230001
2017,2,36110560,315685.3173790001
2017,3,36110250,1002670.5130799998
2017,3,36110310,246971.245858
2017,3,36110320,94127.04080590002
2017,3,36110330,154849.284864
2017,3,36110340,119506.42475099998
2017,3,36110350,328623.338789
2017,3,36110360,212653.95048100004
2017,3,36110370,165254.482664
2017,3,36110380,57865.81573023
2017,3,36110390,35096.3890223
2017,3,36110510,512199.84593600006
2017,3,36110520,610727.5711439999
2017,3,36110530,334963.338894
2017,3,36110540,288083.419438
2017,3,36110550,487999.60164700006
2017,3,36110560,323829.6801860001
2017,4,36110250,1075287.2384199998
2017,4,36110310,253416.00691200007
2017,4,36110320,99450.19219
2017,4,36110330,162092.45603399997
2017,4,36110340,130773.24677700001
2017,4,36110350,374176.284503
2017,4,36110360,239394.796013
2017,4,36110370,190947.501074
2017,4,36110380,66875.980384
2017,4,36110390,44690.30286149999
2017,4,36110510,541236.442934
2017,4,36110520,641285.3848780002
2017,4,36110530,351068.07215600007
2017,4,36110540,296533.730718
2017,4,36110550,526576.1147419999
2017,4,36110560,388420.7168770002
2017,5,36110250,1074636.61013
2017,5,36110310,249001.401805
2017,5,36110320,110674.757311
2017,5,36110330,169883.41358599998
2017,5,36110340,134519.113606
2017,5,36110350,375232.3511160001
2017,5,36110360,244930.32709199996
2017,5,36110370,210536.84154399997
2017,5,36110380,70076.53704000001
2017,5,36110390,45135.46406549999
2017,5,36110510,608323.412494
2017,5,36110520,644713.1562380001
