year,month,hd_cd,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue
2017,1,36110250,45032,32302,35741,25719590219
2017,2,36110250,45022,32351,35846,23785940609
2017,3,36110250,45029,40947,43932,30898562169
2017,4,36110250,44908,41126,44661,28626362051
2017,5,36110250,44622,41328,44465,29352670638
2017,6,36110250,44405,39477,42850,27698945471
2017,7,36110250,44414,34225,37748,24642142885
2017,8,36110250,44396,33321,36730,24574916886
2017,9,36110250,44361,39854,42613,28464373178
2017,10,36110250,44253,40558,43094,26610392757
2017,11,36110250,44109,41233,44286,27242384117
2017,12,36110250,44019,39815,42674,28189152735
2018,1,36110250,43953,33553,37067,23177815302
2018,2,36110250,43870,32875,36167,21955000436
2018,3,36110250,43849,42171,44985,28763897917
2018,4,36110250,43614,42435,45111,27252735717
2018,5,36110250,43496,41958,44656,28588193451
2018,6,36110250,43253,40710,43313,28077590989
2018,7,36110250,43091,34896,37644,26057261730
2018,8,36110250,43023,34496,37128,24722460432
2018,9,36110250,43215,40797,43141,27468970254
2017,1,36110310,2571,5329,6563,1971607604
2017,2,36110310,2572,5595,6599,2118181157
2017,3,36110310,2566,6317,7066,2367523458
2017,4,36110310,2540,6010,6949,2219025449
2017,5,36110310,2564,5833,6395,2203219887
2017,6,36110310,2557,5943,6297,2185035567
2017,7,36110310,2550,5922,6519,2213843820
2017,8,36110310,2563,7664,9795,2056907092
2017,9,36110310,2581,15292,11031,2189195626
2017,10,36110310,2594,15647,12099,2055734541
2017,11,36110310,2579,15791,12359,2173285253
2017,12,36110310,2602,15085,11914,2277202874
2018,1,36110310,2597,14784,11278,1865491786
2018,2,36110310,2602,14380,10818,1786233526
2018,3,36110310,2582,14638,10954,1804143198
2018,4,36110310,2560,14929,10619,1957805061
2018,5,36110310,2547,14942,10440,2313809767
2018,6,36110310,2535,14915,10669,2229941706
2018,7,36110310,2549,14618,10101,2223611213
2018,8,36110310,2522,14730,10346,2102734728
2018,9,36110310,2525,14341,10184,2130241907
2017,1,36110320,3275,4064,2394,1103265478
2017,2,36110320,3257,4089,2352,1150240612
2017,3,36110320,3250,4131,2346,1173401601
2017,4,36110320,3239,4062,2309,1104004500
2017,5,36110320,3226,4206,2252,1021431663
2017,6,36110320,3209,4239,2299,1054214278
2017,7,36110320,3207,4235,2405,973883681
2017,8,36110320,3175,4030,2341,916443656
2017,9,36110320,3168,4235,2430,1006154274
2017,10,36110320,3146,3914,2361,853151113
2017,11,36110320,3129,4130,2448,927598123
2017,12,36110320,3111,4165,2500,871240185
2018,1,36110320,3095,4084,2522,868600476
2018,2,36110320,3077,4084,2563,861519059
2018,3,36110320,3047,4295,2781,993413329
2018,4,36110320,3031,4217,2643,901402860
2018,5,36110320,3022,4320,2633,1132002726
2018,6,36110320,3017,4295,2672,979051434
2018,7,36110320,3016,4403,2693,962654315
2018,8,36110320,2997,4405,2750,997387867
2018,9,36110320,2976,4585,2751,929035073
2017,1,36110330,6404,8514,5551,6700991418
2017,2,36110330,6374,8747,5628,5856002784
2017,3,36110330,6339,8858,5597,6574570936
2017,4,36110330,6338,8883,5608,5887794828
2017,5,36110330,6287,8877,5650,5720554066
2017,6,36110330,6243,8932,5664,5222827374
2017,7,36110330,6209,8939,5644,5127808208
2017,8,36110330,6204,8807,5556,4964922311
2017,9,36110330,6188,9159,5739,5730830847
2017,10,36110330,6159,8837,5615,5293493527
2017,11,36110330,6114,9289,5889,5848237511
2017,12,36110330,6137,8864,5829,5717559784
2018,1,36110330,6127,8842,5695,5315126066
2018,2,36110330,6110,8810,5699,4893874380
2018,3,36110330,6046,9081,5808,5491941492
2018,4,36110330,6023,9130,5916,5539131092
2018,5,36110330,6023,9452,5934,5926059058
2018,6,36110330,6040,9342,6077,6083326525
2018,7,36110330,6009,9401,6074,6559577575
2018,8,36110330,6000,9251,6069,6376855083
2018,9,36110330,5975,9358,6120,5803099253
2017,1,36110340,9052,13606,13309,4274520227
2017,2,36110340,9037,13743,13373,4240209083
2017,3,36110340,9018,14257,13765,5103547016
2017,4,36110340,8988,14148,13780,4608469060
2017,5,36110340,8919,13995,13675,4809036302
2017,6,36110340,8830,13782,13475,4802743344
2017,7,36110340,8848,13411,13281,4682546790
2017,8,36110340,8826,13200,13139,4756809939
2017,9,36110340,8781,13681,13394,4783511849
2017,10,36110340,8747,14240,13674,4146127246
2017,11,36110340,8731,14211,13790,4636696546
2017,12,36110340,8678,14063,13615,5250018466
2018,1,36110340,8664,13566,13296,4603636442
2018,2,36110340,8644,13341,13044,4193868390
2018,3,36110340,8605,13825,13517,4804095514
2018,4,36110340,8574,13754,13441,4718618732
2018,5,36110340,8574,13738,13436,4764990557
2018,6,36110340,8572,13639,13348,4842645700
2018,7,36110340,8572,13235,13092,4899571941
2018,8,36110340,8542,13069,12970,4853380864
2018,9,36110340,8476,13183,12986,4769994250
2017,1,36110350,5964,9147,8943,4492537921
2017,2,36110350,5997,9278,9031,4474077593
2017,3,36110350,6025,9708,9386,6573898830
2017,4,36110350,6060,9725,9490,6130410918
2017,5,36110350,6022,9652,9452,6248032208
