year,month,h_dng_cd,d_sum,n_sum
2017,1,36110250,32302,35741
2017,1,36110310,5329,6563
2017,1,36110320,4064,2394
2017,1,36110330,8514,5551
2017,1,36110340,8371,6494
2017,1,36110350,11721,14358
2017,1,36110360,9194,8310
2017,1,36110370,7712,5246
2017,1,36110380,2854,1974
2017,1,36110390,1533,1336
2017,1,36110510,28491,28567
2017,1,36110515,0,0
2017,1,36110520,25354,25401
2017,1,36110530,39503,39833
2017,1,36110540,23658,23811
2017,1,36110550,0,0
2017,1,36110560,0,0
2017,2,36110250,32351,35846
2017,2,36110310,5595,6599
2017,2,36110320,4089,2352
2017,2,36110330,8747,5628
2017,2,36110340,8531,6710
2017,2,36110350,12002,14535
2017,2,36110360,9174,8439
2017,2,36110370,8219,5306
2017,2,36110380,2885,1933
2017,2,36110390,1516,1344
2017,2,36110510,18236,18229
2017,2,36110515,0,0
2017,2,36110520,25862,25823
2017,2,36110530,19333,19431
2017,2,36110540,24227,24305
2017,2,36110550,20659,20777
2017,2,36110560,11987,11976
2017,3,36110250,40947,43932
2017,3,36110310,6317,7066
2017,3,36110320,4131,2346
2017,3,36110330,8858,5597
2017,3,36110340,8222,6837
2017,3,36110350,14707,16294
2017,3,36110360,9419,8514
2017,3,36110370,8369,5231
2017,3,36110380,2932,1889
2017,3,36110390,1467,1295
2017,3,36110510,19268,19139
2017,3,36110515,0,0
2017,3,36110520,27411,27203
2017,3,36110530,20307,20279
2017,3,36110540,25488,25412
2017,3,36110550,21522,21516
2017,3,36110560,15292,15201
2017,4,36110250,41126,44661
2017,4,36110310,6010,6949
2017,4,36110320,4062,2309
2017,4,36110330,8883,5608
2017,4,36110340,8302,6854
2017,4,36110350,14858,16560
2017,4,36110360,9549,8643
2017,4,36110370,8156,5226
2017,4,36110380,2951,1951
2017,4,36110390,1484,1342
2017,4,36110510,20894,20916
2017,4,36110515,0,0
2017,4,36110520,27576,27577
2017,4,36110530,20210,20330
2017,4,36110540,25444,25560
2017,4,36110550,21462,21610
2017,4,36110560,16384,16411
2017,5,36110250,41328,44465
2017,5,36110310,5833,6395
2017,5,36110320,4206,2252
2017,5,36110330,8877,5650
2017,5,36110340,8614,7025
2017,5,36110350,14603,16416
2017,5,36110360,9604,8647
2017,5,36110370,8033,5305
2017,5,36110380,3032,1984
2017,5,36110390,1534,1382
2017,5,36110510,25535,25707
2017,5,36110515,0,0
2017,5,36110520,27681,27827
2017,5,36110530,20128,20365
2017,5,36110540,25442,25684
2017,5,36110550,21496,21758
2017,5,36110560,17165,17272
2017,6,36110250,39477,42850
2017,6,36110310,5943,6297
2017,6,36110320,4239,2299
2017,6,36110330,8932,5664
2017,6,36110340,8779,7311
2017,6,36110350,14579,16201
2017,6,36110360,9641,8636
2017,6,36110370,8394,5384
2017,6,36110380,2924,1882
2017,6,36110390,1506,1347
2017,6,36110510,28857,29117
2017,6,36110515,0,0
2017,6,36110520,27457,27681
2017,6,36110530,19984,20268
2017,6,36110540,25246,25567
