업종코드,대분류,중분류명,업종명
1001,의생활,의류,맞춤복점
1003,의생활,의류,한복점
1004,의생활,의류,기성복점
1007,의생활,의류,아동 및 유아복점
1008,의생활,의류,내의판매점
1010,의생활,의류,양품점
1099,의생활,의류,기타 의류
1101,의생활,직물/침구류,옷감판매점
1102,의생활,직물/침구류,침구/커튼/카펫트점
1104,의생활,직물/침구류,수예점
1105,의생활,직물/침구류,자석요
1199,의생활,직물/침구류,기타 직물
1201,의생활,신변잡화,악세사리점
1202,의생활,신변잡화,귀금속점
1203,의생활,신변잡화,시계전문점
1204,의생활,신변잡화,안경점
1205,의생활,신변잡화,가방점
1206,의생활,신변잡화,제화점
1207,의생활,신변잡화,일반신발점
1208,의생활,신변잡화,가발전문점
1299,의생활,신변잡화,기타 신변잡화
2002,식생활,휴게음식점,휴게음식점
2003,식생활,휴게음식점,제과점/아이스크림점
2004,식생활,휴게음식점,커피/음료전문점
2099,식생활,휴게음식점,패스트푸드점
2104,식생활,일반음식점,한식
2107,식생활,일반음식점,일식/생선회집
2109,식생활,일반음식점,중식
2110,식생활,일반음식점,양식
2111,식생활,일반음식점,부페
2112,식생활,일반음식점,일반주점
2113,식생활,일반음식점,패밀리레스토랑
2199,식생활,일반음식점,일반음식점 기타
2299,유흥,유흥,단란주점
2312,유흥,유흥,유흥주점
2317,유흥,유흥,나이트클럽
2401,식생활,음식료품,미곡상
2402,식생활,음식료품,정육점
2403,식생활,음식료품,인삼판매점
2404,식생활,음식료품,건강식품점
2406,식생활,음식료품,농.수.축산물점
2407,식생활,음식료품,주류판매점
2499,식생활,음식료품,기타 식품
3001,내구재,가구,일반가구점
3002,내구재,가구,철재가구점
3101,내구재,전자제품,가전제품점
3102,내구재,전자제품,냉난방기구
3199,내구재,전자제품,기타 전자제품
3201,내구재,전자제품,조명 전기기구점
3202,내구재,주방용품,주방기구점
3203,내구재,주방용품,주방 및 가정용품점
3204,내구재,주방용품,정수기판매점
3299,내구재,주방용품,기타 주방용품
3302,주거생활,연료판매,연탄 및 유류판매점
3303,주거생활,연료판매,가스판매점
3401,주거생활,건축관련업,건축자재
3402,주거생활,건축관련업,기계류 건축설비
3403,주거생활,건축관련업,철물점
3404,주거생활,건축관련업,실내장식
3405,주거생활,건축관련업,지물 및 천막
3406,유통,기타유통,농어업용품
3407,주거생활,건축관련업,보안경비시스템
3408,주거생활,건축관련업,주택/건설
3499,주거생활,건축관련업,기타 건축자재
4001,유통,대형유통,백화점
4101,유통,소매,슈퍼마켓
4103,유통,소매,소비조합
4104,유통,소매,선물의집
4106,유통,통신판매,통신판매
4107,유통,대형유통,대형마트
4108,유통,대형유통,농.수.축협직판장
4110,유통,소매,일반잡화판매점
4111,유통,기타유통,중고물품 판매점
4112,유통,소매,편의점
4113,유흥,유흥,노래방
4114,유통,기타유통,종교상품점
4115,유통,전자상거래,전자상거래
4118,유통,전자상거래,전자상거래(PASSCITY
4120,유통,전자상거래,전자상거래PG
4121,유통,전자상거래,전자상거래오픈마켓
4123,유통,대형유통,대형쇼핑센터
4124,유통,전자상거래,전자상거래상품권
4125,유통,전자상거래,전자상거래PG상품권
4126,유통,전자상거래,전자상거래오픈마켓상품권
4198,유통,기타유통,다단계판매
4199,유통,기타유통,기타유통업
4200,유통,기타유통,상품권
4201,유통,비영리유통,공무원연금매점
4202,유통,비영리유통,공공기관직영점
4204,유통,비영리유통,보훈연금매점
5001,여행,숙박,특급관광호텔
5101,여행,숙박,일반관광호텔
5102,여행,숙박,기타관광호텔
5103,여행,숙박,기타숙박업
5104,여행,숙박,펜션/민박
5201,여행,운송수단,항공사
5301,여행,관광여행,관광여행사
5302,여행,운송수단,고속버스
5303,여행,운송수단,철도
5304,여행,운송수단,여객선
5305,여행,운송수단,렌트카
5306,여행,운송수단,택시
5399,여행,운송수단,기타 운송수단
5401,여행,관광여행,관광기념품점
5402,여행,관광여행,민예.공예.토산품
5403,여행,관광여행,외국인전용점
5404,여행,관광여행,면세점
5501,자동차,운송기구판매,국산자동차판매점
5502,자동차,운송기구판매,자전거판매점
5601,자동차,운송기구판매,수입자동차판매점
5602,자동차,운송기구판매,중고자동차판매점
5603,자동차,운송기구판매,오토바이판매점
5604,자동차,운송기구판매,기타운송기구판매점
5605,자동차,자동차정비/유지,차량 정비/부품/인테리어
5608,자동차,주유,주유소
5609,자동차,주유,충전소
5610,자동차,자동차정비/유지,주차장
5611,자동차,자동차정비/유지,세차장
5612,자동차,자동차정비/유지,차량견인업
5699,자동차,자동차정비/유지,기타 차량서비스
6001,레포츠/문화/취미,레저/스포츠,스포츠용품점
6002,레포츠/문화/취미,레저/스포츠,레저용품점
6003,레포츠/문화/취미,레저/스포츠,총포류판매점
6004,레포츠/문화/취미,레저/스포츠,골프장
6005,레포츠/문화/취미,레저/스포츠,골프연습장
6006,레포츠/문화/취미,레저/스포츠,테니스장
6007,레포츠/문화/취미,레저/스포츠,볼링장
6008,레포츠/문화/취미,레저/스포츠,스키장
6009,레포츠/문화/취미,레저/스포츠,수영장
6010,레포츠/문화/취미,레저/스포츠,종합스포츠센터
6011,레포츠/문화/취미,레저/스포츠,당구장
6012,레포츠/문화/취미,레저/스포츠,놀이공원
6013,레포츠/문화/취미,레저/스포츠,레포츠클럽
6014,레포츠/문화/취미,문화/취미,영화관
6015,레포츠/문화/취미,레저/스포츠,이벤트업
6016,레포츠/문화/취미,레저/스포츠,외국인전용카지노
6018,레포츠/문화/취미,문화/취미,비디오방/게임방
6019,레포츠/문화/취미,문화/취미,공연장/전시장
6020,레포츠/문화/취미,문화/취미,경기장
6021,레포츠/문화/취미,레저/스포츠,요가
6099,레포츠/문화/취미,레저/스포츠,기타 레저업소
6101,내구재,사무기기,사무용기기
6102,내구재,사무기기,정보통신기기
6103,내구재,사무기기,컴퓨터기기
6104,서비스,용역서비스,소프트웨어업
6105,교육,학습자재,과학기자재점
6107,레포츠/문화/취미,문화/취미,사진관
6109,내구재,악기,피아노판매점
6110,내구재,악기,기타악기판매점
6111,레포츠/문화/취미,문화/취미,음반판매점
6112,레포츠/문화/취미,문화/취미,비디오 및 도서대여점
6113,레포츠/문화/취미,문화/취미,서점
6114,교육,학습자재,문방구점
6115,교육,학습자재,교육기자재
6116,교육,학습자재,학습지
6117,유통,기타유통,성인용품점
6199,교육,학습자재,기타 학습자재
6201,레포츠/문화/취미,문화/취미,화랑
6202,레포츠/문화/취미,문화/취미,화방
