year,month,sido+sgg,nolivework_in_cnt,nolive_yeswork_in_cnt
2018,9,3611110.0,15502,1056
2018,9,3611140.0,9847,32
2018,9,3611170.0,21096,1405
2018,9,3611200.0,23456,1122
2018,9,3611215.0,23937,468
2018,9,3611230.0,21650,607
2018,9,3611260.0,17339,96
2018,9,3611290.0,27606,1302
2018,9,3611305.0,13744,48
2018,9,3611320.0,12712,661
2018,9,3611350.0,25083,2108
2018,9,3611380.0,25379,1795
2018,9,3611410.0,24884,2113
2018,9,3611440.0,35007,1482
2018,9,3611470.0,26504,2765
2018,9,3611500.0,37740,1915
2018,9,3611530.0,28743,589
2018,9,3611560.0,36214,1448
2018,9,3611590.0,34064,2469
2018,9,3611620.0,48693,1838
2018,9,3611650.0,38142,3611
2018,9,3611680.0,49828,5273
2018,9,3611710.0,53203,3743
2018,9,3611740.0,24172,1464
2018,9,3626260.0,6793,28
2018,9,3626350.0,12999,12
2018,9,3627140.0,15732,20
2018,9,3627260.0,21819,831
2018,9,3627290.0,17627,259
2018,9,3628185.0,15230,117
2018,9,3628200.0,17675,414
2018,9,3628237.0,20183,433
2018,9,3628260.0,21484,127
2018,9,3629140.0,15266,163
2018,9,3629155.0,10386,83
2018,9,3629170.0,18984,36
2018,9,3629200.0,18387,4
2018,9,3630110.0,111252,27326
2018,9,3630140.0,123502,31000
2018,9,3630170.0,305031,95886
2018,9,3630200.0,356249,128885
2018,9,3630230.0,121335,38152
2018,9,3641111.0,19480,781
2018,9,3641113.0,25471,1239
2018,9,3641115.0,15132,616
2018,9,3641117.0,29603,1608
2018,9,3641131.0,15723,423
2018,9,3641133.0,11333,4
2018,9,3641135.0,40084,4496
2018,9,3641150.0,11883,40
2018,9,3641171.0,14115,1320
2018,9,3641173.0,24472,2790
2018,9,3641190.0,40754,932
2018,9,3641210.0,20400,531
2018,9,3641220.0,51635,2336
2018,9,3641271.0,17171,1027
2018,9,3641281.0,20280,274
2018,9,3641285.0,14071,430
2018,9,3641287.0,11816,304
2018,9,3641290.0,5644,687
2018,9,3641310.0,7541,36
2018,9,3641360.0,22050,943
2018,9,3641370.0,16352,840
2018,9,3641390.0,18922,75
2018,9,3641410.0,17765,1826
2018,9,3641430.0,10206,1040
2018,9,3641450.0,11059,94
2018,9,3641461.0,17453,224
2018,9,3641463.0,33850,1638
2018,9,3641465.0,25992,1792
2018,9,3641480.0,12646,12
2018,9,3641500.0,9616,8
2018,9,3641570.0,17837,267
2018,9,3641590.0,59625,2941
2018,9,3641610.0,17094,540
2018,9,3642130.0,8583,116
2018,9,3643111.0,61788,16239
2018,9,3643112.0,118949,41869
2018,9,3643113.0,238381,74906
2018,9,3643114.0,71762,15176
2018,9,3643130.0,14624,463
2018,9,3643720.0,5291,94
2018,9,3643730.0,15926,1497
2018,9,3643740.0,9660,13
2018,9,3643745.0,8683,124
2018,9,3643750.0,11037,292
2018,9,3643760.0,2845,103
2018,9,3643770.0,14182,603
2018,9,3644131.0,127952,37863
2018,9,3644133.0,99284,15567
2018,9,3644150.0,178155,51024
2018,9,3644200.0,82923,8441
2018,9,3644230.0,40711,3588
2018,9,3644250.0,32937,9050
2018,9,3644270.0,28988,4
2018,9,3644710.0,14879,1082
2018,9,3644760.0,23230,75
2018,9,3644800.0,22656,245
2018,9,3644810.0,18729,32
2018,9,3645111.0,20805,795
2018,9,3645113.0,20380,2125
2018,9,3645130.0,23110,552
2018,9,3645140.0,33177,1185
2018,9,3645180.0,6628,12
